STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
34,125,AGI - 221/7 Ha Hoang Ho,"221/7 Hà Hoàng Hổ, Phường Mỹ Xuyên, TP. Long Xuyên, An Giang",Mekong2,An Giang,Long Xuyen,"10.3782968, 105.4370404",,
35,126,HCM - 291 CMT8,"291 Cách Mạng Tháng 8, Phường 12, Quận 10, TP. HCM",HCM,Ho Chi Minh,Quan 10,"10.7760746, 106.6738809",,
36,127,TNI - 15-17 Pham Hung,"15-17 Phạm Hùng, Khu phố 2, TT. Hòa Thành, Tỉnh Tây Ninh",SouthEast1,Tay Ninh,Hoa Thanh,"11.2856759, 106.1271912",,
37,128,TGI - 42 Ap Bac,"42 Ấp Bắc, P5, TP. Mỹ Tho, Tiền Giang",Mekong1,Tien Giang,My Tho,"10.3735532, 106.3467125",,
38,131,BPH - 1108 Phu Rieng Do,"1108 Phú Riềng Đỏ, Khu Phố 2, P. Tân Đồng, TX Đồng Xoài, Bình Phước",SouthEast2,Binh Phuoc,Dong Xoai,"11.5381157, 106.9025689",,
39,132,HCM - 172 Le Van Viet,"172 Lê Văn Việt, P. Tăng Nhơn Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.845906, 106.789173",,
40,134,AGI - 112 Nguyen Van Thoai,"112 Nguyễn Văn Thoại, Khóm 6, P. Châu Phú A, TP. Châu Đốc, An Giang",Mekong2,An Giang,Chau Doc,"10.7090622, 105.1176956",,
41,135,CTO - 196 Duong 3/2,"196 Đường 3 Tháng 2, P. Hưng Lợi, Cần Thơ",Mekong2,Can Tho,Ninh Kieu,"10.0200675, 105.7618777",,
42,136,HCM - 1649 Huynh Tan Phat,"1649 Huỳnh Tấn Phát, P. Phú Mỹ, Q.7, HCM",HCM,Ho Chi Minh,Quan 7,"10.7072238, 106.7374332",,
43,138,HCM - 97 Nguyen Thi Tu,"97 -101 Nguyễn Thị Tú, khu phố 3, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",HCM,Ho Chi Minh,Binh Tan,"10.8158261, 106.5978868",,
44,139,BDU - 283 Nguyen An Ninh,"283 Nguyễn An Ninh, P. Dĩ An, Thành phố Dĩ An, Bình Dương",SouthEast2,Binh Duong,Di An,"10.9058127, 106.7681805",,
45,140,LAN - 2 Phan Van Mang,"2 Phan Văn Mảng, KP7, Bến Lức, Long An",Mekong1,Long An,Ben Luc,"10.635373, 106.4901771",,
46,141,HCM - 107/1 Le Van Khuong,"107/1 Lê Văn Khương, P. Thới An, Q.12, HCM",HCM,Ho Chi Minh,Quan 12,"10.8775315, 106.6487253",,
47,144,KHO - 2197 Dai Lo Hung Vuong,"2193 -2195 - 2197 Đại Lộ Hùng Vương, Phường Cam Lợi, Thành Phố Cam Ranh, Tỉnh Khánh Hòa, Việt Nam",Central1,Khanh Hoa,Cam Ranh,"11.9171529, 109.1450174",,
48,145,DON - 34 Khu Pho 4,"34 Khu Phố 4, Phường Long Bình, Biên Hòa, Đồng Nai",SouthEast2,Dong Nai,Bien Hoa,"10.9720363, 106.9097419",,
49,149,DON - 1-1/1 Hai Ba Trung,"1-1/1 đường Hai Bà Trưng, Khu Phước Hải, Thị Trấn Long Thành, Huyện Long Thành, Tỉnh Đồng Nai,",SouthEast2,Dong Nai,Long Thanh,"10.7806252, 106.9529137",,
50,154,HCM - 338 Ngo Gia Tu,"338 - 342 Ngô Gia Tự, P.4, Q.10, TP.HCM",HCM,Ho Chi Minh,Quan 10,"10.7627057, 106.6706641",,
51,155,HCM - Grand View Phu My Hung,"Grand View, Phú Mỹ Hưng, Nguyễn Đức Cảnh, P. Tân Phong, Q.7, TP.HCM",HCM,Ho Chi Minh,Quan 7,"10.721922, 106.7108408",,
52,156,HCM - 37A Nguyen Thi Nho,"37A-37B Nguyễn Thị Nhỏ, P2, Q6, Tp.HCM",HCM,Ho Chi Minh,Quan 6,"10.7513714, 106.6503077",,
53,157,BTR - 179 Nguyen Dinh Chieu,"179 Nguyễn Đình Chiểu, P.2, Tp. Bến Tre, Tỉnh Bến Tre",Mekong1,Ben Tre,Ben Tre,"10.235982, 106.3766576",,
