STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
136,273,KHO - 2E-2F Duong 2/4,"2E-2F đường 2 tháng 4, phường Vĩnh Thạnh, Tp Nha Trang, Tỉnh Khánh Hoà",Central1,Khanh Hoa,Nha Trang,"12.3042219, 109.1862597",,
137,275,HCM - 406C Ma Lo,"Số 406C Mã Lò, Khu phố 22, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Binh Tan,"10.77973, 106.60006",,
138,276,KHO - 310-312 Thong Nhat,"310 - 312 Thống Nhất, P. Phương Sơn, Tp. Nha Trang, Khánh Hòa",Central1,Khanh Hoa,Nha Trang,"12.2492119, 109.1822164",,
139,278,BDU - Duong D10,"đường D10, phường Thới Hoà, thị xã Bến Cát, tỉnh Bình Dương",SouthEast2,Binh Duong,Ben Cat,"11.1256701, 106.6066207",,
140,279,KGI - 13-14 Lo L04 Tran Quang Khai,"13 - 14, lô L04 , đường Trần Quang Khải, phường An Hoà, thành phố Rạch Giá, tỉnh Kiên Giang",Mekong2,Kien Giang,Rach Gia,"9.9823318, 105.0992367",,
141,280,KGI - 02 Tran Phu,"Số 02 , đường Trần Phú, khu phố Lý Thường Kiệt, phường Vĩnh Thanh, thành phố Rạch Giá, Tỉnh Kiên Giang",Mekong2,Kien Giang,Rach Gia,"10.016677, 105.0804429",,
142,281,BTH - 45 Tran Hung Dao,"45 Trần Hưng Đạo, P. Phú Thuỷ, Tp. Phan Thiết.",Central1,Binh Thuan,Phan Thiet,"10.9403837, 108.1039343",,
143,282,BTH - 158 Thong Nhat,"158 Thống Nhất, P. Tân Thiện, Thị xã Lagi, Bình Thuận.",Central1,Binh Thuan,Lagi,"10.6637098, 107.7680495",,
144,283,KTU - 263 Tran Hung Dao,"263 Trần Hưng Đạo, P. Quyết Thắng, TP Kon Tum, Tỉnh Kon Tum",Highland3,Kon Tum,KonTum,"14.3497653, 108.0052953",,
145,285,ĐTH - 51 Nguyen Hue,"51 Nguyễn Huệ, Thị Trấn Sa Rài, huyện Tân Hồng, tỉnh Đồng Tháp",Mekong2,Dong Thap,Tan Hong,"10.8798538, 105.4512516",,
146,286,ĐTH - 308 Duong 3/2,"308 Đường 3/2, Khóm Bình Thạnh 1, Thị Trấn Lấp Vò, Huyện Lấp Vò, Tỉnh Đồng Tháp.",Mekong2,Dong Thap,Lap Vo,"10.3577289, 105.5210607",,
147,287,BVT - 1107-1109 Duong 30/4,"1107 - 1109 đường 30/4, phường 11, TP Vũng Tàu, tỉnh Bà Rịa Vũng Tàu",SouthEast2,Ba Ria - Vung Tau,Vung Tau,"10.4111977, 107.1357043",,
148,289,DON - 2551 Ly Thai To,"2551 đường Lý Thái Tổ, Ấp Phước Lý, xã Đại Phước, huyện Nhơn Trạch, Đồng Nai",SouthEast2,Dong Nai,Nhon Trach,"10.7330894, 106.8202921",,
149,290,DON - 194 Tran Phu,"194 Trần Phú, P. Xuân An, Long Khánh, Đồng Nai",SouthEast2,Dong Nai,Long Khanh,"10.9339729, 107.2528559",,
150,291,TVI - 62 Dien Bien Phu,"62 Điện Biên Phủ, Khóm 3, Phường 2, Thành phố Trà Vinh, Tỉnh Trà Vinh",Mekong2,Tra Vinh,Tra Vinh,"9.933351499999999, 106.3412061",,
151,292,BPH - 224 DT741,"224 Đường DT 741 Ấp Chợ, Xã Tân Tiến, Huyện Đồng Phú, Tỉnh Bình Phước",SouthEast2,Binh Phuoc,Dong Phu,"11.4250684, 106.8571993",,
152,296,DON - 49F Duong 30/4,"49F đường 30/4, thị trấn Trảng Bom, huyện Trảng Bom, tỉnh Đồng Nai",SouthEast2,Dong Nai,Trang Bom,"11.004833, 107.1144996",,
153,297,HCM - 911A-911B Nguyen Anh Thu,"911A – 911B đường Nguyễn Ảnh Thủ, P.Tân Chánh Hiệp, Quận 12, Tp.Hồ Chí Minh",HCM,Ho Chi Minh,Quan 12,"10.8711904, 106.6196052",,
154,299,NBI - 244 Quang Trung,"244 Quang Trung, Phường Bắc Sơn, Thành phố Tam Điệp, Tỉnh Ninh Bình",North,Ninh Binh,Tam Diep,"20.158144, 105.9214993",,
155,300,HCM - 121A Nguyen Duy Trinh,"121A Nguyễn Duy Trinh, KP1, P. Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.78842, 106.75872",,
156,301,LAN - 01 Quoc Lo 50,"Số 1- 3 Quốc lộ 50, Ấp Hoà Thuận 1,Xã Trường Bình, Huyện Cần Giuộc, Tỉnh Long An,Việt Nam",Mekong1,Long An,Can Giuoc,"10.6006962, 106.6650926",,
157,302,BLI - 24-26 Tran Phu,"số 24-26, đường Trần Phú, Phường 3, TP bạc Liêu, Tỉnh Bạc Liêu.",Mekong2,Bac Lieu,Bac Lieu,"9.2876221, 105.7223991",,
158,305,ĐTH - 76 Pham Huu Lau,"Số 76, đường Phạm Hữu Lầu, phường 4, TP Cao Lãnh, Tỉnh Đồng Tháp",Mekong2,Dong Thap,Cao Lanh,"10.45135, 105.6308369",,
159,306,ĐTH - 131 Hung Vuong,"131 Hùng Vương, Thị Trấn Mỹ An, Tỉnh Đồng Tháp",Mekong2,Dong Thap,Thap Muoi,"10.518361, 105.8434798",,
160,307,BPH - Quoc Lo 14,"QL14, Thị trấn Đức Phong, huyện Bù Đăng, Bình Phước",SouthEast2,Binh Phuoc,Bu Dang,"11.8117111, 107.238091",,
161,309,HCM - 39 Phan Van Hon,"39 Phan Văn Hớn, Ấp 4, Xuân Thới Thượng, Hóc Môn, TPHCM",HCM,Ho Chi Minh,Hoc Mon,"10.8626044, 106.5709984",,
162,312,LAN - 216 Do Tuong Phong,"216 Đỗ Tường Phong, Khóm 1, Thị Trấn Tầm Vu, H. Châu Thành, Long An",Mekong1,Long An,Chau Thanh,"10.446994, 106.4678489",,
163,313,LAN - 10 Phan Chu Trinh,"Số 10 Phan Chu Trinh, Khu phố 1, Phường 1, Thị Xã Kiến Tường, Tỉnh Long An",Mekong1,Long An,Kien Tuong,"10.7786458, 105.9372485",,
164,315,DON - 1435 Quoc Lo 1A,"1435 QL 1A, Ấp Trà Cổ, H. Trảng Bom, Đồng Nai",SouthEast2,Dong Nai,Trang Bom,"10.9481006, 106.9861807",,
165,318,HCM - 3/1A Nguyen Van Luong,"3/1A Nguyễn Văn Lượng, phường 16 quận Gò vấp, tp Hcm",HCM,Ho Chi Minh,Go Vap,"10.838767, 106.6655",,
166,319,BNI - 30-32 Pho Cho,"30-32 Phố Chờ thị trấn Chờ, huyện Yên Phong, tỉnh Bắc Ninh.",North,Bac Ninh,Yen Phong,"21.1978889, 105.9494248",,
167,320,DON - 22 Ap 114,"Số 22, ấp 114, thị trấn Định Quán, huyện Định Quán, tỉnh Đồng Nai",SouthEast2,Dong Nai,Dinh Quan,"11.1937645, 107.3434916",,
168,321,HCM - 158 Quoc Lo 22,"158 Quốc Lộ 22, Ấp Đình, Xã Tân Phú Trung, Củ Chi, TPHCM",HCM,Ho Chi Minh,Cu Chi,"10.8722864, 106.5953996",,
169,322,BTH - 12 Co Giang,"12, đường Cô Giang, phường Phước Hội, thị xã La Gi, tỉnh Bình Thuận",Central1,Binh Thuan,Lagi,"10.6641818, 107.7741051",,
170,323,HCM - 304-306 Huynh Tan Phat,"304-306 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, TPHCM",HCM,Ho Chi Minh,Quan 7,"10.751381, 106.7284769",,
171,324,HCM - 326 Le Van Luong,"326 Lê Văn Lương, Phường Tân Hưng, Quận 7, TPHCM.",HCM,Ho Chi Minh,Quan 7,"10.7410878, 106.7035851",,
172,326,BVT - 2181 Quoc Lo 51,"2181-2183 Quốc lộ 51, thôn Tân Phú, thị trấn Phú Mỹ, huyện Tân Thành, tỉnh Bà Rịa - Vũng Tàu.",SouthEast2,Ba Ria - Vung Tau,Tan Thanh,"10.6688927, 107.0324154",,
173,328,HCM - 484 Luy Ban Bich,"484 Lũy Bán Bích, phường Hòa Thạnh, quận Tân Phú",HCM,Ho Chi Minh,Tan Phu,"10.7805421, 106.6363119",,
174,329,DON - 296-297 Quoc Lo 51,"296 - 297 Quốc Lộ 51, KP Long Khánh 3, Phường Tam Phước, Thành phố Biên Hòa, Tỉnh Đồng Nai",SouthEast2,Dong Nai,Bien Hoa,"10.8535091, 106.928083",,
175,330,TGI - 68 Hung Vuong,"68 Hùng Vương, TP Mỹ Tho, Tiền Giang.",Mekong1,Tien Giang,My Tho,"10.3649526, 106.3649252",,
176,331,DON - 845 Bui Van Hoa,"845 đường Bùi Văn Hòa khu phố 7, phường Long Bình, TP. Biên Hòa, Đồng Nai",SouthEast2,Dong Nai,Bien Hoa,"10.9141438, 106.8865067",,
177,332,BTH - Khu Dan Cu A2,"Khu dân cư A2, Thị Trấn Liên Hương, Huyện Tuy Phong, Tỉnh Bình Thuận.",Central1,Binh Thuan,Tuy Phong,"11.2172009, 108.7185184",,
178,333,QTR - 84 Quoc Lo 9,"84, Quốc lộ 9, Khu phố 7, Phường 1, TP. Đông Hà, Tỉnh Quảng Trị.",Central3,Quang Tri,Dong Ha,"16.817461, 107.0864428",,
179,334,PYN - 60 Nguyen Thai Hoc,"60 Nguyễn Thái Học, p5, tp Tuy Hòa, Phú Yên",Central2,Phu Yen,Tuy Hoa,"13.0902172, 109.3030218",,
180,335,QNA - 550 Hai Ba Trung,"550 Hai Bà Trưng, Phường Cẩm Phô, Thành phố Hội An, Tỉnh Quảng Nam.",Central2,Quang Nam,Hoi An,"15.8842615, 108.3254383",,
181,336,KGI - 318-320 Nguyen Trung Truc,"318-320 Nguyễn Trung Trực , phường Vĩnh Lạc, tp Rạch Giá, Tỉnh Kiên Giang",Mekong2,Kien Giang,Rach Gia,"9.9990905, 105.0907823",,
182,341,HCM - 6C-10Bis Truong Chinh,"6C-10bis Trường Chinh, Tân Hưng Thuận, Q12",HCM,Ho Chi Minh,Quan 12,"10.8337862, 106.6208943",,
183,342,KHO - 70 Le Hong Phong,"70 đường Lê Hồng Phong , phường Phước Hải, thành phố Nha Trang, Khánh Hòa",Central1,Khanh Hoa,Nha Trang,"12.2443376, 109.1819497",,
184,344,HCM - D12/37 Dinh Duc Thien,"D12/37 đường Đinh Đức Thiện, ấp 4, xã Bình Chánh, huyện Bình Chánh, TPHCM",HCM,Ho Chi Minh,Binh Chanh,"10.6624102, 106.5762914",,
185,345,DNA - 42 Ong Ich Duong,"42 , đường Ông Ích Đường , phường Hòa Thọ Đông, quận Cẩm Lệ, thành phố Đà Nẵng",Central2,Da Nang,Cam Le,"16.0166544, 108.2045065",,
186,346,DON - 1912 Quoc Lo 51,"1912 Quốc lộ 51, tổ 1, Ấp 1C, Phước Thái, Long Thành, Đồng Nai",SouthEast2,Dong Nai,Long Thanh,"10.6774007, 107.0280117",,
187,347,HCM - 12/12 Nguyen Binh,"12/12 Nguyễn Bình, Nhà Bè, Tp Hcm",HCM,Ho Chi Minh,Nha Be,"10.6790429, 106.7520409",,
188,348,KGI - 178-180 Mac Thien Tich,"178-180 Mạc Thiên Tích, P. Pháo Đài, Tx Hà Tiên, Tỉnh Kiên Giang",Mekong2,Kien Giang,Ha Tien,"10.3787704, 104.4831814",,
189,349,HCM - E9/9 Nguyen Huu Tri,"E9/9 Nguyễn Hữu Trí, khu phố 5, Tân Túc, Bình Chánh, TPHCM",HCM,Ho Chi Minh,Binh Chanh,"10.6962159, 106.5942396",,
190,350,TGI - Ap Long Thanh,"Ấp Long Thạnh, xã Long Bình Điền, Huyện Chợ Gạo, Tiền Giang",Mekong1,Tien Giang,Cho Gao,"10.6382894, 106.6007108",,
191,351,KHO - 08 Phan Boi Chau,"08 Phan Bội Châu, tổ DP Phan Bội Châu 2, thị trấn Diên Khánh, huyện Diên Khánh, Khánh Hòa",Central1,Khanh Hoa,Dien Khanh,"12.2572461, 109.1008357",,
192,353,BDI - 394 Nguyen Thai Hoc,"394 Nguyễn Thái Học, phường Quang Trung, thành phố Quy Nhơn, tỉnh Bình Định",Central2,Binh Dinh,Qui Nhon,"13.7638252, 109.2137992",,
193,354,QNA - 179 Dien Bien Phu,"179 Điện Biên Phủ, Khối phố Long Xuyên 1, Thị Trấn Nam Phước, Huyện Duy Xuyên, Tỉnh Quảng Nam",Central2,Quang Nam,Duy Xuyen,"15.8196874, 108.2606686",,
194,356,DON - 32A Hung Vuong,"Số 32A đường Hùng Vương, Khu phố 2, Thị trấn Trảng Bom, huyện Trảng Bom, tỉnh Đồng Nai",SouthEast2,Dong Nai,Trang Bom,"10.9562209, 107.0115236",,
195,357,GLA - 807D Hung Vuong,"807D Đường Hùng Vương, Tổ dân phố 7, Thị Trấn Chư Sê, Huyện Chư Sê, Tỉnh Gia Lai",Highland3,Gia Lai,Chu Se,"13.6945212, 108.0772563",,
196,358,GLA - 18-20 Nguyen Tat Thanh,"18-20 Nguyễn Tất Thành, phường Hoa Lư, thành phố Pleiku, tỉnh Gia Lai",Highland3,Gia Lai,Pleiku,"13.9835093, 108.0083985",,
197,359,AGI - 956-958 Tran Hung Dao,"956-958 Trần Hưng Đạo, khóm Bình Khánh 2, P.Bình Khánh, Tp.Long Xuyên, An Giang.",Mekong2,An Giang,Long Xuyen,"10.3931729, 105.4263512",,
198,360,AGI - Le Loi,"Lê Lợi, P.Châu Phú B, Tp.Châu Đốc, An Giang.",Mekong2,An Giang,Chau Doc,"10.7071729, 105.1265106",,
199,361,HCM - B6/190 Quoc Lo 50,"B6/190 QL50, Ấp 2, xã Phong Phú, huyện Bình Chánh, TPHCM",HCM,Ho Chi Minh,Binh Chanh,"10.6648229, 106.6514253",,
200,362,HCM - 827 Au Co,"827 Âu Cơ, phường Tân Thành, quận Tân Phú, TPHCM",HCM,Ho Chi Minh,Tan Phu,"10.7946872, 106.6383614",,
201,363,BDU - 272 Dai Lo Binh Duong,"272 tổ 3 khu 2, Đại Lộ Bình Dương, phường Phú Hòa, TP. Thủ Dầu Một, Tỉnh Bình Dương.",SouthEast2,Binh Duong,Thu Dau Mot,"10.9638024, 106.6889421",,
202,365,HCM - 266A Tinh Lo 15,"266A Tỉnh Lộ 15, tổ 5, ấp 11, xã Tân Thạnh Đông, Củ Chi, TPHCM",HCM,Ho Chi Minh,Cu Chi,"10.947261, 106.606163",,
203,366,LDO - 861-863 Tran Phu,"861-863 Trần Phú, Tp Bảo Lộc, Lâm Đồng",Highland1,Lam Dong,Bao Loc,"11.5412668, 107.8000563",,
204,367,LDO - 796-798 Hung Vuong,"796-798 Hùng Vương, thị trấn Đinh Văn, huyện Lâm Hà, tỉnh Lâm Đồng",Highland1,Lam Dong,Lam Ha,"11.7872092, 108.2476416",,
205,368,DLK - 514 Giai Phong,"514 đường Giải Phóng, thị trấn Ea Drăng, huyện Ea Hleo, tỉnh Đắk Lắk",Highland2,Dak Lak,Ea H'leo,"13.2028834, 108.2065236",,
206,369,CMA - 68 Tran Hung Dao,"68 Trần Hưng Đạo, khóm 7, phường 5, tp Cà Mau",Mekong2,Ca Mau,Ca Mau,"9.184987399999999, 105.1635747",,
207,370,KGI - DT 933,"DT 933, khu phố 6, Thị Trấn Giồng Riềng, Huyện Giồng Riềng, Tỉnh Kiên Giang .",Mekong2,Kien Giang,Giong Rieng,"9.898483700000002, 105.2955575",,
208,371,HCM - 657 Nguyen Xien,"657 Nguyễn Xiển, Phường Long Thạnh Mỹ, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8429331, 106.8286117",,
209,372,HCM - 564A Huong Lo 2,"564A Hương Lộ 2, KP6, P.Bình Trị Đông, Bình Tân",HCM,Ho Chi Minh,Binh Tan,"10.7698011, 106.6132582",,
210,373,TGI - 2/4 Quốc Lộ 1A,"2/4 Quốc Lộ 1A, Ấp Rẫy, Thị Trấn Tân Hiệp, Huyện Châu Thành, Tỉnh Tiền Giang",Mekong1,Tien Giang,Chau Thanh,"10.4501159, 106.3432735",,
211,374,HCM - 326A/13 An Phu Tay,"326A/13 An Phú Tây - Hưng Long, ấp 1, xã An Phú Tây, huyện Bình Chánh, TPHCM",HCM,Ho Chi Minh,Binh Chanh,"10.6853752, 106.6022995",,
212,375,CMA - Duong Thi Cam Van,"Dương Thị Cẩm Vân, Khóm 4, Thị trấn Đầm Dơi, Huyện Đầm Dơi, Tỉnh Cà Mau.",Mekong2,Ca Mau,Dam Doi,"8.9978959, 105.1986784",,
213,376,TGI - 57/8 Le Thi Hong Gam,"57/8 đường Lê Thị Hồng Gấm, phường 6, thành phố Mỹ Tho, tỉnh Tiền Giang.",Mekong1,Tien Giang,My Tho,"10.3504937, 106.3432273",,
214,377,LAN - 11 Nguyen Trung Truc,"11 Nguyễn Trung Trực, thị trấn Thạnh Hóa, Huyện Thạnh Hóa, Tỉnh Long An.",Mekong1,Long An,Thanh Hoa,"10.6576177, 106.1817556",,
215,378,KHO - Lo 06-07 Duong 23/10,"Lô 06-07 Đường 23/10, thôn Vĩnh Điềm Trung, xã Vĩnh Hiệp, Tp. Nha Trang, Tỉnh Khánh Hòa",Central1,Khanh Hoa,Nha Trang,"12.2561755, 109.1563603",,
216,379,CTO - 8/8 Le Hong Phong,"8/8 Lê Hồng Phong, P.Trà Nóc, Q.Bình Thuỷ, TP Cần Thơ",Mekong2,Can Tho,Binh Thuy,"10.1004035, 105.7081298",,
217,381,LAN - 450 Hung Vuong,"450 Hùng Vương, phường 3, TP Tân An, Tỉnh Long An",Mekong1,Long An,Tan An,"10.5308485, 106.4169966",,
218,382,BTR - 376 DT883,"376 DT883, ấp Quới Hòa Đông, xã Quới Sơn, huyện Châu Thành, tỉnh Bến Tre.",Mekong1,Ben Tre,Chau Thanh,"10.3045624, 106.3912719",,
219,383,HCM - 66/7 Quoc Lo 22,"66/7 QL22, Ấp Dân Thắng 1, xã Tân Thới Nhì, Hóc Môn, Tp Hcm",HCM,Ho Chi Minh,Hoc Mon,"10.8885505, 106.5836516",,
220,384,DNK - 45 Nguyen Tat Thanh,"45 Nguyễn Tất Thành, TT. Kiến Đức, H. Đăk Rlấp, Đăk Nông",Highland2,Dak Nong,Dak R'lap,"11.9951319, 107.5115356",,
221,385,LAN - 277-278 ĐT835,"277-278 ĐT835 ấp 4 , xã Phước Lợi, huyện Bến Lức ,tỉnh Long An.",Mekong1,Long An,Ben Luc,"10.6376721, 106.5352985",,
222,386,CMA - 141B Nguyen Tat Thanh,"141B Nguyễn Tất Thành, Khóm 1, Phường 8, TP Cà Mau",Mekong2,Ca Mau,Ca Mau,"9.165631699999999, 105.1443768",,
223,387,TNI - 308 Tinh Lo 782,"308 Tỉnh Lộ 782, tổ 4, ấp Phước Đức, xã Phước Đông, huyện Gò Dầu, tỉnh Tây Ninh",SouthEast1,Tay Ninh,Go Dau,"11.1212665, 106.3242041",,
224,389,HCM - 668 Le Duc Tho,"668 Lê Đức Thọ, P.15, Q.Gò Vấp, thành phố HCM",HCM,Ho Chi Minh,Go Vap,"10.8460272, 106.6712334",,
225,390,QNG - 169 Hung Vuong,"169 Hùng Vương, Phường Trần Phú, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi",Central2,Quang Ngai,Quang Ngai,"15.1220391, 108.7936149",,
226,391,QNG - 386 Nguyen Nghiem,"386 Nguyễn Nghiêm, Phường Nguyễn Nghiêm, Tp Quảng Ngãi, Tỉnh Quảng Ngãi",Central2,Quang Ngai,Quang Ngai,"15.1206291, 108.8022875",,
227,392,DON - 63 Quoc Lo 1A,"63 QL1A ấp Hòa Bình, Xã Đông Hòa, Huyện Trảng Bom, tỉnh Đồng Nai",SouthEast2,Dong nai,Trang Bom,"10.9425213, 107.0719792",,
228,393,BVT - C50 Tinh Lo 44A,"C50 Tỉnh Lộ 44A, Ấp Phước Lộc, Xã Phước Hưng, Huyện Long Điền, Tỉnh Bà Rịa – Vũng Tàu.",SouthEast2,Ba Ria - Vung Tau,Long Dien,"10.4600398, 107.2778339",,
229,394,DON - 240 Hung Vuong,"240 đường Hùng Vương, khu phố 5, thị trấn Gia Ray, huyện Xuân Lộc, tỉnh Đồng Nai.",SouthEast2,Dong Nai,Xuan Loc,"10.9254065, 107.4022364",,
230,395,DON - 633 Pham Van Thuan,"633 đường Phạm Văn Thuận, xã Tam Hiệp, Tp Biên Hòa, Tỉnh Đồng Nai",SouthEast2,Dong nai,Bien Hoa,"10.9466035, 106.8564043",,
231,396,AGI - 5-5A-7 Nguyen Tri Phuong,"5-5A-7 Nguyễn Tri Phương, Tổ 10, Khóm Hoà Bình, Phường Vĩnh Mỹ, TP Châu Đốc, Tỉnh An Giang",Mekong2,An Giang,Chau Doc,"10.7171754, 105.1094799",,
232,397,DNK - 17-19-21 Huynh Thuc Khang,"17, 19, 21 đường Huỳnh Thúc Kháng, thị xã Gia Nghĩa, Tỉnh Đăk Nông.",Highland2,Dak Nong,Gia Nghia,"12.0042, 107.6842",,
233,399,BVT - Quoc Lo 51,"Quốc Lộ 51, Khu phố Ông Trịnh, Phường Tân Phước, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu",SouthEast2,Ba Ria - Vung Tau,Tan Thanh,"10.5590705, 107.0645474",,
234,401,DON - 1324 Quoc Lo 51,"1324 Quốc lộ 51, ấp Phước Hòa, xã Long Phước, huyện Long Thành, tỉnh Đồng Nai.",SouthEast2,Dong Nai,Long Thanh,"10.7097549, 107.0059304",,
235,402,STR - 39-41 Nguyen Hue,"39-41 Nguyễn Huệ, Khóm 1, Phường 1, Thị xã Vĩnh Châu, Tỉnh Sóc Trăng.",Mekong2,Soc Trang,Vinh Chau,"9.3235055, 105.9803404",,
236,403,KGI - 709 Quoc Lo 61,"709 QL61, Khu Phố Minh An, Thị trấn Minh Lương, Huyện Châu Thành, Tỉnh Kiên Giang.",Mekong2,Kien Giang,Chau Thanh,"9.9049994, 105.1590761",,
237,405,KHO - 288 Dai Lo Hung Vuong,"288 Đại Lộ Hùng Vương, tổ dân phố Hòa Thuận, Phường Cam Nghĩa, Thành phố Cam Ranh, Tỉnh Khánh Hoà",Central1,Khanh Hoa,Cam Ranh,"11.9875722, 109.191965",,
238,406,AGI - Nguyen Huu Canh,"Nguyễn Hữu Cảnh, Ấp Long Hòa, Thị Trấn Chợ Mới, Huyện Chợ Mới, Tỉnh An Giang",Mekong2,An Giang,Cho Moi,"10.54842, 105.4002642",,
239,407,KGI - 31 Mai Thi Hong Hanh,"31 Mai Thị Hồng Hạnh, Khu Phố 1, Phường Vĩnh Lợi, TP Rạch Giá, Tỉnh Kiên Giang.",Mekong2,Kien Giang,Rach Gia,"9.954336699999999, 105.1213771",,
240,408,GLA - 06 Le Loi,"06 Lê Lợi, P. Hội Thương, Tp. Pleiku, Gia Lai",Highland3,Gia Lai,Pleiku,"13.9767301, 108.0062115",,
241,409,CTO - 1A Mau Than,"1A Mậu Thân, Phường Xuân Khánh, Quận Ninh Kiều, Thành phố Cần Thơ",Mekong2,Can Tho,Ninh Kieu,"10.0326088, 105.7741234",,
242,410,HTI - 53-55 Tran Phu,"53-55, đường Trần Phú , phường Trần Phú, thành phố Hà Tĩnh, tỉnh Hà Tĩnh",North,Ha Tinh,Ha Tinh,"18.3410337, 105.8931224",,
243,411,BPH - 168 Duong DT 741,"168 đường DT741, xã Phú Riềng, H Phú Riềng, Bình Phước",SouthEast2,Binh Phuoc,Phu Rieng,"11.8101471, 106.9505632",,
244,413,QNG - 558 Quang Trung,"558 Quang Trung, Phường Nguyễn Nghiêm, TP. Quảng Ngãi, Tỉnh Quảng Ngãi",Central2,Quang Ngai,Quang Ngai,"15.1189544, 108.8058063",,
245,415,HCM - 17/15A Khu pho 6,"17/15 Đường Phan Văn Hớn, Khu phố 6A, Phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Quan 12,"10.8327516, 106.6083392",,
246,416,QNA - Tran Quy Cap,"Trần Qúy Cáp (QL1A cũ), khu phố chợ Vĩnh Điện, Phường Vĩnh Điện , Thị xã Điện Bàn, Tỉnh Quảng Nam",Central2,Quang Nam,Dien Ban,"15.8949329, 108.2439408",,
247,417,DLK - 294-296 Giai Phong,"294-296 Giải Phóng, thị trấn Phước An, huyện Krông Pắc, tinh Đắc Lắc",Highland2,Dak Lak,Krong Pac,"12.7105244, 108.3025092",,
248,418,HCM - 1069 Tinh Lo 43,"1069 Tỉnh Lộ 43, Khu Phố 2, Phường Bình Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8820895, 106.7288778",,
249,419,STR - 167 Tran Hung Dao,"167 Trần Hưng Đạo, Phường 03, TP Sóc Trăng, Tỉnh Sóc Trăng.",Mekong2,Soc Trang,Soc Trang,"9.5953988, 105.9705851",,
250,421,BDU - 60 Nguyen Van Tiet,"60 Nguyễn Văn Tiết, Phường Lái Thiêu, Thành phố Thuận An, Tỉnh Bình Dương.",SouthEast2,Binh Duong,Thuan An,"10.9075798, 106.7011232",,
251,422,HCM - 107 Mai Xuan Thuong,"107 Mai Xuân Thưởng, Phường 4, Quận 6, TPHCM",HCM,Ho Chi Minh,Quan 6,"10.7459248, 106.648461",,
252,423,HCM - 871 Pham The Hien,"871 Phạm Thế Hiển, Phường 4, Quận 8, TP.HCM",HCM,Ho Chi Minh,Quan 8,"10.7436978, 106.6725035",,
253,424,HCM - 175 Lam Van Ben,"175 Lâm Văn Bền, Khu phố 6, Phường Bình Thuận, Quận 7, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Quan 7,"10.744748, 106.7160106",,
254,428,HCM - 204-206 Le Van Tho,"204-206 Lê Văn Thọ, Phường 11, Quận Gò Vấp",HCM,Ho Chi Minh,Go Vap,"10.8430055, 106.6572765",,
255,429,HCM - 2 Duong So 40,"Số 2, Đường số 40, Khu phố 8, Phường Tân Tạo, Quận Bình Tân, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Binh Tan,"10.7521905, 106.6042014",,
256,430,HCM - 478 To Ngoc Van,"487 Tô Ngọc Vân , Khu Phố 1, Phường Tam Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8619986, 106.7441934",,
257,431,HCM - 47 Tinh Lo 8,"47 Tỉnh lộ 8, Thị trấn Củ Chi, Huyện Củ Chi, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Cu Chi,"10.9705835, 106.4897552",,
258,437,HCM - Aeon Mall Tan Phu,"S12, Tầng 2, Trung tâm thương mua sắm Aeon Mall - Tân Phú Celadon, 30 Bờ Bao Tân Thắng, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Tan Phu,"10.8013384, 106.6179585",,
259,438,BPH - 361 DT 741,"361 Đường ĐT741, Khu Phố 4, Phường Long Phước, Thị Xã Phước Long",SouthEast2,Binh Phuoc,Phuoc Long,"11.8130316, 106.9538053",,
260,439,HCM - 247 Hong Bang,"245 - 247 Hồng Bàng, Phường 11, Quận 5, Thành phố Hồ Chí Minh,Việt Nam",HCM,Ho Chi Minh,Quan 5,"10.7549475, 106.6618695",,
261,440,HCM - 43D Hoa Binh,"Số 43D Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Tan Phu,"10.7692955, 106.6352783",,
262,441,HCM - Lo C CC Tan My,"tầng 1+ 2, Lô C Chung cư Tân Mỹ, đường Tân Mỹ, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh.",HCM,Ho Chi Minh,Quan 7,"10.7349598, 106.7187647",,
